id,summary,languages,country,legal_server_id,client_initials,time_to_complete,is_remote,client_location,program,upcoming_hearing_date,needs_interpreter,interest_ids
ad397a84-0239-4ea2-9f50-0699210a65f9,"Snickle drizzle blibber schnizzle trizzle zibber frabble fizzbuzz mizzle spizzle quixle. Whip snipple noggle spronk squickle sprock spizzle squirk squaddle sprocket quazzle drizzle twizzle mizzle spooner quackle jibble fizzbuzz spizzle. Twizzle splurge woggle spronk blabble wump, flap spooner spronk crackle twizzle bizzle. Flap,.","[""Hololect"",""Datalex""]","Canada",627,"S. I.","2024-01-18 13:22:40 +2:00",false,"Vacuumville, Pancaketon",FGLOP,"2023-10-30 14:22:40 -10:00",true,"[""89d6cc67-3089-4c65-966b-5e36d081acb1"",""e136d6f4-99a5-493a-b3f3-9d77c48be1c8"",""90aada95-25f1-4ecf-916e-d87e04376e32""]"
423923f8-0e24-46ef-a38b-77c11775cc0c,"Frizzle snort dabble fizzbuzz squizzle snickle, wuddle zizzle flabble chizzle bizzle noodle plix. Frabble frizzle jib splotch squabble frizzle wibber frizzle mizzle wobble quazzle. Fluddle flabble wham gobble squizzle sprocket zizzle twibble wobble dabble fizz plix. Frozzle squirk mizzle crackle wham mizzle fuddle, jibble splurge wibble doodle. Frozzle schnizzle snop, dabble spizzle wuddle.","[""Siliconian"",""Technophrase""]","Canada",525,"P. F.","2024-01-31 13:22:40 +9:00",false,"Cupborough, Pancaketon",LOP,"2023-10-28 14:22:40 +11:00",false,"[]"
76215c88-ab58-449c-8c1b-8918dc9a8324,"Gobble blizzle jibber squabble splurge snickle dabble doodle snort spronk blibber. Quixle doodle snickle wuddle zix flibber bizzle drizzle skizzle schnizzle wizzle. Wibber mizzle quip splizzle crackle drizzle splizzle gobble wibber quackle mizzle mizzle squickle fuddle. Quazzle twibble doodle fizzbuzz flibber bizzle dribble woggle whip, drizzle snort doodle doodle wump flap.","[""Alscript""]","Canada",14,"G. X.","2024-01-23 13:22:40 -11:00",false,"Toothpastia, Papayapark",FGLOP,"2023-11-12 13:22:40 -7:00",true,"[]"
2a3a199a-0f3a-4abc-9cf2-a9a2e9965966,"Trizzle fuzzle wobble dribble glimmer wibble skizzle wobble, noodle blizzle drizzle jibble spooner schnizzle blibber splurge squizzle snip. Crackle plix blizzle whiz snip wham, noggle splotch frozzle squirk. Sproop mizzle flib squizzle blib fuzzle flib zorp sproop, splurge wobble snipple gobble zizzle.","[""Datalex""]","Lumaria",88,"Y. W.","2023-11-17 13:22:40 -11:00",true,"Keyboard City, Pizzalandia",CC,"2023-10-28 14:22:40 +4:00",true,"[""dc82a69e-2d1e-4827-b514-b15c2e026d35""]"
2e673182-e811-4a08-9cb8-e6f53bfc3707,"Dabble fuzzle drizzle sproop quixle splonker twibble schnizzle blip chizzle. Glimmer glimmer dabble wobble frizzle chizzle zibber sprocket, splurge snip whip twizzle snizzle wham bizzle wobble snipple. Noodle bizzle squizzle blib flib jib zobble wump flabble quazzle splurge splizzle. Spuddle plix blibber splurge blibber splurge frabble blizzle spronk fluddle.","[""Siliconian""]","Obsidian Isle",569,"L. T.","2023-11-03 14:22:40 +5:00",true,"Vacuumville, Crystalis",LOP,"2023-11-01 14:22:40 +0:00",false,"[""d4b435b2-e4ee-4024-9156-9f7b55f69289""]"
8c95b74d-ffc5-4ddd-a5c9-f04447532a73,"Quibble chizzle twibble mizzle wibble crackle quackle whiz fizzbuzz jibber snort splizzle flib dribble spronk twibble. Zibber quibble jibble mizzle plix zobble zorp plix zizzle splonker quip whiz, wizzle sprocket twibble zobble snop spronk dabble. Fuddle wizzle sprock schnizzle snickle dribble zobble spizzle zix spizzle whip noodle. Zobble wizzle drizzle squizzle, quip spronk sprockle.","[""Technophrase"",""Siliconian"",""Datalex""]","Canada",709,"G. B.","2023-12-14 13:22:40 +7:00",true,"Spoonville, Papayapark",CC,"2023-11-13 13:22:40 -9:00",true,"[]"
e316c0b4-b499-498a-8cef-fc4c6189f6b7,"Fizzbuzz schnizzle snickle wham whiz blib, squizzle squaddle drizzle wobble jib wibble. Wizzle snop skizzle snop woggle wump chizzle spizzle fuzzle wuddle drizzle fizzbuzz jibble. Snip twizzle quip fizz blip blabble dabble quip, flib doodle snickle drizzle sproogle blabble spooner flabble sprockle sprocket. Snip wibble squabble glimmer spronk blabble.","[""Cyphertongue"",""Hololect""]","Narnia",96,"C. C.","2023-11-05 13:22:40 -8:00",true,"Coffeeburg, Sorbetopia",LOP,"2023-10-31 14:22:40 -4:00",true,"[""d0038e4f-0f7d-4c5b-a060-66f17359a727"",""c3cf32d5-f4a7-4bc6-9f94-b678d2654c08"",""1f946a05-4020-4f0f-99b4-9a1eb56c77dc""]"
65d7656b-5bd3-4152-8d21-3674546303c4,"Wobble sprock zix wobble noodle flabble snipple wobble spizzle snip sproop, quazzle schnizzle jibber skizzle mizzle drizzle noggle gobble. Squizzle splotch woggle sprockle quixle frozzle fuzzle squizzle squizzle snipple, flabble sprock wump quibble quixle splotch quazzle. Nix twizzle zizzle crackle fuzzle quixle flibber.","[""Cyberspeak"",""Alscript"",""Siliconian""]","Narnia",302,"P. A.","2023-11-27 13:22:40 -5:00",false,"Batterytown, Pizzalandia",LDP,"2023-11-09 13:22:40 -7:00",false,"[""3cf83ff7-d839-4e09-aaee-4de029d733b9""]"
da8fbc47-2f31-4afe-9fb3-fe9736f08260,"Dabble splurge wobble spizzle snizzle flib frizzle snop chizzle jibble. Flibber zobble splizzle noodle zix glimmer wizzle snizzle glimmer jib quibble blibber squickle blip. Wump snort zizzle twizzle twizzle twizzle blibber gobble frabble twizzle blizzle mizzle bizzle squaddle. Crackle whiz twizzle, fuzzle spooner chizzle.","[""Cyphertongue"",""Technophrase""]","Narnia",942,"B. P.","2024-02-17 13:22:40 +3:00",true,"Keyboard City, Taterstan",CC,"2023-11-25 13:22:40 +7:00",false,"[""020162bd-e0af-423c-994f-8115cdea7f62"",""18395649-27c9-4341-b321-c8e78f9d7acb"",""1a096ef7-c196-4445-8039-cae63c8809ef""]"
bb4ead64-66c8-4d55-b27b-b64d731af7a2,"Drizzle mizzle schnizzle blabble zorp, dabble splonker drizzle zix wobble. Splurge wuddle splotch sprock snip blib sprockle flibber whip snort sprock zizzle spooner. Spronk blabble blizzle zobble noggle zix schnizzle splizzle quazzle fluddle drizzle twibble mizzle skizzle noggle zizzle. Blizzle splurge, spizzle.","[""Cyphertongue""]","Valeria",668,"F. P.","2024-03-05 13:22:40 -2:00",true,"Pillowtown, Chiliado",LOP,"2023-11-15 13:22:40 +12:00",false,"[]"
